Country Name,Country Code,Time,Time Code,Individuals using the Internet (% of population),,,,,,
Benin,BEN,2019,YR2019,22.41593843,,,,,,
Benin,BEN,2020,YR2020,28.22915416,,,,,,
Benin,BEN,2021,YR2021,33.96533089,,,,,,
Bermuda,BMU,2017,YR2017,98.37,,,,,,
Bermuda,BMU,2018,YR2018,..,,,,,,
Bermuda,BMU,2019,YR2019,..,,,,,,
Bermuda,BMU,2020,YR2020,..,,,,,,
Bermuda,BMU,2021,YR2021,..,,,,,,
Bhutan,BTN,2017,YR2017,54.3,,,,,,
Bhutan,BTN,2018,YR2018,63.5,,,,,,
Bhutan,BTN,2019,YR2019,74.17944255,,,,,,
Bhutan,BTN,2020,YR2020,79.86984884,,,,,,
Bhutan,BTN,2021,YR2021,85.63688389,,,,,,
Bolivia,BOL,2017,YR2017,43.83227607,,,,,,
Bolivia,BOL,2018,YR2018,44.2861422,,,,,,
Bolivia,BOL,2019,YR2019,47.47481911,,,,,,
Bolivia,BOL,2020,YR2020,59.94010155,,,,,,
Bolivia,BOL,2021,YR2021,65.9773785,,,,,,
Bosnia and Herzegovina,BIH,2017,YR2017,64.89202051,,,,,,
Bosnia and Herzegovina,BIH,2018,YR2018,70.12013504,,,,,,
Bosnia and Herzegovina,BIH,2019,YR2019,69.94634763,,,,,,
Bosnia and Herzegovina,BIH,2020,YR2020,73.21175294,,,,,,
Bosnia and Herzegovina,BIH,2021,YR2021,75.67620138,,,,,,
Botswana,BWA,2017,YR2017,41.41379464,,,,,,
Botswana,BWA,2018,YR2018,58,,,,,,
Botswana,BWA,2019,YR2019,64.82632542,,,,,,
Botswana,BWA,2020,YR2020,72.74801998,,,,,,
Botswana,BWA,2021,YR2021,73.5,,,,,,
Brazil,BRA,2017,YR2017,67.47128452,,,,,,
Brazil,BRA,2018,YR2018,70.43428254,,,,,,
Brazil,BRA,2019,YR2019,73.91243991,,,,,,
Brazil,BRA,2020,YR2020,81.34269353,,,,,,
Brazil,BRA,2021,YR2021,80.68989314,,,,,,
British Virgin Islands,VGB,2017,YR2017,77.70426829,,,,,,
British Virgin Islands,VGB,2018,YR2018,..,,,,,,
British Virgin Islands,VGB,2019,YR2019,..,,,,,,
British Virgin Islands,VGB,2020,YR2020,..,,,,,,
British Virgin Islands,VGB,2021,YR2021,..,,,,,,
Brunei Darussalam,BRN,2017,YR2017,94.86669164,,,,,,
Brunei Darussalam,BRN,2018,YR2018,95,,,,,,
Brunei Darussalam,BRN,2019,YR2019,95,,,,,,
Brunei Darussalam,BRN,2020,YR2020,96.06912594,,,,,,
Brunei Darussalam,BRN,2021,YR2021,98.08,,,,,,
Bulgaria,BGR,2017,YR2017,63.41010138,,,,,,
Bulgaria,BGR,2018,YR2018,64.78201069,,,,,,
Bulgaria,BGR,2019,YR2019,67.94698094,,,,,,
Bulgaria,BGR,2020,YR2020,70.16248359,,,,,,
Bulgaria,BGR,2021,YR2021,75.27144583,,,,,,
Burkina Faso,BFA,2017,YR2017,7.79,,,,,,
Burkina Faso,BFA,2018,YR2018,8.5,,,,,,
Burkina Faso,BFA,2019,YR2019,9.27180601,,,,,,
Burkina Faso,BFA,2020,YR2020,13.93797176,,,,,,
Burkina Faso,BFA,2021,YR2021,21.57982734,,,,,,
Burundi,BDI,2017,YR2017,2.660748535,,,,,,
Burundi,BDI,2018,YR2018,2.7,,,,,,
Burundi,BDI,2019,YR2019,2.731443388,,,,,,
Burundi,BDI,2020,YR2020,3.787954422,,,,,,
Burundi,BDI,2021,YR2021,5.804921577,,,,,,
Cabo Verde,CPV,2017,YR2017,57.16214635,,,,,,
Cabo Verde,CPV,2018,YR2018,59.5,,,,,,
Cabo Verde,CPV,2019,YR2019,61.94339776,,,,,,
Cabo Verde,CPV,2020,YR2020,63.16119125,,,,,,
Cabo Verde,CPV,2021,YR2021,69.76225648,,,,,,
Cambodia,KHM,2017,YR2017,32.90027854,,,,,,
Cambodia,KHM,2018,YR2018,..,,,,,,
Cambodia,KHM,2019,YR2019,52.30587822,,,,,,
Cambodia,KHM,2020,YR2020,53.65076745,,,,,,
Cambodia,KHM,2021,YR2021,60.1524023,,,,,,
Cameroon,CMR,2017,YR2017,23.20297197,,,,,,
Cameroon,CMR,2018,YR2018,29.7,,,,,,
Cameroon,CMR,2019,YR2019,36.5391824,,,,,,
Cameroon,CMR,2020,YR2020,45.52922268,,,,,,
Cameroon,CMR,2021,YR2021,45.60217394,,,,,,
Canada,CAN,2017,YR2017,92.70137191,,,,,,
Canada,CAN,2018,YR2018,94.64,,,,,,
Canada,CAN,2019,YR2019,91.91289669,,,,,,
Canada,CAN,2020,YR2020,92.3,,,,,,
Canada,CAN,2021,YR2021,92.83401664,,,,,,
Cayman Islands,CYM,2017,YR2017,81.06769325,,,,,,
Cayman Islands,CYM,2018,YR2018,..,,,,,,
Cayman Islands,CYM,2019,YR2019,..,,,,,,
Cayman Islands,CYM,2020,YR2020,..,,,,,,
Cayman Islands,CYM,2021,YR2021,..,,,,,,
Central African Republic,CAF,2017,YR2017,4,,,,,,
Central African Republic,CAF,2018,YR2018,5.1,,,,,,
Central African Republic,CAF,2019,YR2019,7.509161449,,,,,,
Central African Republic,CAF,2020,YR2020,8.565672483,,,,,,
Central African Republic,CAF,2021,YR2021,10.58263964,,,,,,
Chad,TCD,2017,YR2017,7.4,,,,,,
Chad,TCD,2018,YR2018,8,,,,,,
Chad,TCD,2019,YR2019,8.364171285,,,,,,
Chad,TCD,2020,YR2020,11.66019198,,,,,,
Chad,TCD,2021,YR2021,17.8688792,,,,,,
Channel Islands,CHI,2017,YR2017,..,,,,,,
Channel Islands,CHI,2018,YR2018,..,,,,,,
Channel Islands,CHI,2019,YR2019,..,,,,,,
Channel Islands,CHI,2020,YR2020,..,,,,,,
Channel Islands,CHI,2021,YR2021,..,,,,,,
Chile,CHL,2017,YR2017,82.32748693,,,,,,
Chile,CHL,2018,YR2018,84.9,,,,,,
Chile,CHL,2019,YR2019,85.01758384,,,,,,
Chile,CHL,2020,YR2020,86.37099516,,,,,,
Chile,CHL,2021,YR2021,90.19336882,,,,,,
China,CHN,2017,YR2017,54.3,,,,,,
China,CHN,2018,YR2018,59.2,,,,,,
China,CHN,2019,YR2019,64.0808813,,,,,,
China,CHN,2020,YR2020,70.05275998,,,,,,
China,CHN,2021,YR2021,73.0532414,,,,,,
Colombia,COL,2017,YR2017,62.25988032,,,,,,
Colombia,COL,2018,YR2018,64.12637682,,,,,,
Colombia,COL,2019,YR2019,65.00690072,,,,,,
Colombia,COL,2020,YR2020,69.79533474,,,,,,
Colombia,COL,2021,YR2021,73.02837449,,,,,,
Comoros,COM,2017,YR2017,8.478170295,,,,,,
Comoros,COM,2018,YR2018,..,,,,,,
Comoros,COM,2019,YR2019,16.38375122,,,,,,
Comoros,COM,2020,YR2020,21.16321517,,,,,,
Comoros,COM,2021,YR2021,27.33694319,,,,,,
"Congo, Dem. Rep.",COD,2017,YR2017,8.619904916,,,,,,
"Congo, Dem. Rep.",COD,2018,YR2018,11.7,,,,,,
"Congo, Dem. Rep.",COD,2019,YR2019,16.48118911,,,,,,
"Congo, Dem. Rep.",COD,2020,YR2020,22.86494849,,,,,,
"Congo, Dem. Rep.",COD,2021,YR2021,22.90158489,,,,,,
"Congo, Rep.",COG,2017,YR2017,8.65,,,,,,
"Congo, Rep.",COG,2018,YR2018,..,,,,,,
"Congo, Rep.",COG,2019,YR2019,..,,,,,,
"Congo, Rep.",COG,2020,YR2020,..,,,,,,
"Congo, Rep.",COG,2021,YR2021,..,,,,,,
Costa Rica,CRI,2017,YR2017,71.58166462,,,,,,
Costa Rica,CRI,2018,YR2018,73.47972844,,,,,,
Costa Rica,CRI,2019,YR2019,81.20259644,,,,,,
Costa Rica,CRI,2020,YR2020,80.53018608,,,,,,
Costa Rica,CRI,2021,YR2021,82.74901607,,,,,,
Cote d'Ivoire,CIV,2017,YR2017,43.83992085,,,,,,
Cote d'Ivoire,CIV,2018,YR2018,37.54653613,,,,,,
Cote d'Ivoire,CIV,2019,YR2019,36.28895457,,,,,,
Cote d'Ivoire,CIV,2020,YR2020,41.3736053,,,,,,
Cote d'Ivoire,CIV,2021,YR2021,45.42553268,,,,,,
Croatia,HRV,2017,YR2017,67.09619204,,,,,,
Croatia,HRV,2018,YR2018,75.29462599,,,,,,
Croatia,HRV,2019,YR2019,79.07978368,,,,,,
Croatia,HRV,2020,YR2020,78.32090004,,,,,,
Croatia,HRV,2021,YR2021,81.25396608,,,,,,
Cuba,CUB,2017,YR2017,57.14840432,,,,,,
Cuba,CUB,2018,YR2018,62.67892362,,,,,,
Cuba,CUB,2019,YR2019,67.97080866,,,,,,
Cuba,CUB,2020,YR2020,71.11907507,,,,,,
Cuba,CUB,2021,YR2021,71.11907507,,,,,,
Curacao,CUW,2017,YR2017,68.12721625,,,,,,
Curacao,CUW,2018,YR2018,..,,,,,,
Curacao,CUW,2019,YR2019,..,,,,,,
Curacao,CUW,2020,YR2020,..,,,,,,
Curacao,CUW,2021,YR2021,..,,,,,,
Cyprus,CYP,2017,YR2017,80.74318897,,,,,,
Cyprus,CYP,2018,YR2018,84.43358252,,,,,,
Cyprus,CYP,2019,YR2019,86.06362996,,,,,,
Cyprus,CYP,2020,YR2020,90.80194644,,,,,,
Cyprus,CYP,2021,YR2021,90.75951564,,,,,,
Czechia,CZE,2017,YR2017,78.71917285,,,,,,
Czechia,CZE,2018,YR2018,80.68816754,,,,,,
Czechia,CZE,2019,YR2019,80.86694441,,,,,,
Czechia,CZE,2020,YR2020,81.33889705,,,,,,
Czechia,CZE,2021,YR2021,82.67062427,,,,,,
Denmark,DNK,2017,YR2017,97.09936216,,,,,,
Denmark,DNK,2018,YR2018,97.31920437,,,,,,
Denmark,DNK,2019,YR2019,98.04643475,,,,,,
Denmark,DNK,2020,YR2020,96.54914573,,,,,,
Denmark,DNK,2021,YR2021,98.8658506,,,,,,
Djibouti,DJI,2017,YR2017,55.68140925,,,,,,
Djibouti,DJI,2018,YR2018,58,,,,,,
Djibouti,DJI,2019,YR2019,59.34196605,,,,,,
Djibouti,DJI,2020,YR2020,61.26152265,,,,,,
Djibouti,DJI,2021,YR2021,68.86318451,,,,,,
Dominica,DMA,2017,YR2017,69.61966879,,,,,,
Dominica,DMA,2018,YR2018,..,,,,,,
Dominica,DMA,2019,YR2019,73.38194848,,,,,,
Dominica,DMA,2020,YR2020,77.0650479,,,,,,
Dominica,DMA,2021,YR2021,80.93300506,,,,,,
Dominican Republic,DOM,2017,YR2017,67.57124533,,,,,,
Dominican Republic,DOM,2018,YR2018,74.82204836,,,,,,
Dominican Republic,DOM,2019,YR2019,79.71545398,,,,,,
Dominican Republic,DOM,2020,YR2020,82.19830578,,,,,,
Dominican Republic,DOM,2021,YR2021,85.24298638,,,,,,
Ecuador,ECU,2017,YR2017,55.8,,,,,,
Ecuador,ECU,2018,YR2018,57.5,,,,,,
Ecuador,ECU,2019,YR2019,59.2,,,,,,
Ecuador,ECU,2020,YR2020,70.7,,,,,,
Ecuador,ECU,2021,YR2021,76.20289766,,,,,,
"Egypt, Arab Rep.",EGY,2017,YR2017,44.95020425,,,,,,
"Egypt, Arab Rep.",EGY,2018,YR2018,46.92433677,,,,,,
"Egypt, Arab Rep.",EGY,2019,YR2019,57.2828664,,,,,,
"Egypt, Arab Rep.",EGY,2020,YR2020,71.91420096,,,,,,
"Egypt, Arab Rep.",EGY,2021,YR2021,72.06,,,,,,
El Salvador,SLV,2017,YR2017,33.8207289,,,,,,
El Salvador,SLV,2018,YR2018,43.8,,,,,,
El Salvador,SLV,2019,YR2019,50.49119407,,,,,,
El Salvador,SLV,2020,YR2020,54.60136976,,,,,,
El Salvador,SLV,2021,YR2021,62.88028717,,,,,,
Equatorial Guinea,GNQ,2017,YR2017,26.239999,,,,,,
Equatorial Guinea,GNQ,2018,YR2018,..,,,,,,
Equatorial Guinea,GNQ,2019,YR2019,49.13366302,,,,,,
Equatorial Guinea,GNQ,2020,YR2020,53.83614077,,,,,,
Equatorial Guinea,GNQ,2021,YR2021,53.92240217,,,,,,
Eritrea,ERI,2017,YR2017,1.30890698,,,,,,
Eritrea,ERI,2018,YR2018,..,,,,,,
Eritrea,ERI,2019,YR2019,8.832308384,,,,,,
Eritrea,ERI,2020,YR2020,14.17998705,,,,,,
Eritrea,ERI,2021,YR2021,21.73038628,,,,,,
Estonia,EST,2017,YR2017,88.10245687,,,,,,
Estonia,EST,2018,YR2018,89.35700777,,,,,,
Estonia,EST,2019,YR2019,90.2289282,,,,,,
Estonia,EST,2020,YR2020,89.05828666,,,,,,
Estonia,EST,2021,YR2021,90.97970174,,,,,,
Eswatini,SWZ,2017,YR2017,35.3,,,,,,
Eswatini,SWZ,2018,YR2018,43.7,,,,,,
Eswatini,SWZ,2019,YR2019,54.0343672,,,,,,
Eswatini,SWZ,2020,YR2020,56.42093688,,,,,,
Eswatini,SWZ,2021,YR2021,58.91291568,,,,,,
Ethiopia,ETH,2017,YR2017,15.6,,,,,,
Ethiopia,ETH,2018,YR2018,15.9,,,,,,
Ethiopia,ETH,2019,YR2019,16.15232553,,,,,,
Ethiopia,ETH,2020,YR2020,16.42294727,,,,,,
Ethiopia,ETH,2021,YR2021,16.6981031,,,,,,
Faroe Islands,FRO,2017,YR2017,97.58195894,,,,,,
Faroe Islands,FRO,2018,YR2018,..,,,,,,
Faroe Islands,FRO,2019,YR2019,..,,,,,,
Faroe Islands,FRO,2020,YR2020,..,,,,,,
Faroe Islands,FRO,2021,YR2021,..,,,,,,
Fiji,FJI,2017,YR2017,65.78,,,,,,
Fiji,FJI,2018,YR2018,68.9,,,,,,
Fiji,FJI,2019,YR2019,77.18669679,,,,,,
Fiji,FJI,2020,YR2020,84.8767809,,,,,,
Fiji,FJI,2021,YR2021,87.65996651,,,,,,
Finland,FIN,2017,YR2017,87.46892907,,,,,,
Finland,FIN,2018,YR2018,88.88996,,,,,,
Finland,FIN,2019,YR2019,89.60738511,,,,,,
Finland,FIN,2020,YR2020,92.17027106,,,,,,
Finland,FIN,2021,YR2021,92.80806082,,,,,,
France,FRA,2017,YR2017,80.50245972,,,,,,
France,FRA,2018,YR2018,82.04318678,,,,,,
France,FRA,2019,YR2019,83.33974409,,,,,,
France,FRA,2020,YR2020,84.70640914,,,,,,
France,FRA,2021,YR2021,86.09548575,,,,,,
French Polynesia,PYF,2017,YR2017,72.70389531,,,,,,
French Polynesia,PYF,2018,YR2018,..,,,,,,
French Polynesia,PYF,2019,YR2019,..,,,,,,
French Polynesia,PYF,2020,YR2020,..,,,,,,
French Polynesia,PYF,2021,YR2021,..,,,,,,
Gabon,GAB,2017,YR2017,50.32012015,,,,,,
Gabon,GAB,2018,YR2018,59.6,,,,,,
Gabon,GAB,2019,YR2019,68.68550299,,,,,,
Gabon,GAB,2020,YR2020,70.78874796,,,,,,
Gabon,GAB,2021,YR2021,71.74940641,,,,,,
"Gambia, The",GMB,2017,YR2017,22.5,,,,,,
"Gambia, The",GMB,2018,YR2018,25.5,,,,,,
"Gambia, The",GMB,2019,YR2019,28.80487199,,,,,,
"Gambia, The",GMB,2020,YR2020,31.60419095,,,,,,
"Gambia, The",GMB,2021,YR2021,32.96228971,,,,,,
Georgia,GEO,2017,YR2017,59.7055046,,,,,,
Georgia,GEO,2018,YR2018,62.7179082,,,,,,
Georgia,GEO,2019,YR2019,68.84671356,,,,,,
Georgia,GEO,2020,YR2020,72.53157487,,,,,,
Georgia,GEO,2021,YR2021,76.44271451,,,,,,
Germany,DEU,2017,YR2017,84.3941537,,,,,,
Germany,DEU,2018,YR2018,87.03711209,,,,,,
Germany,DEU,2019,YR2019,88.13451691,,,,,,
Germany,DEU,2020,YR2020,89.81294133,,,,,,
Germany,DEU,2021,YR2021,91.43060973,,,,,,
Ghana,GHA,2017,YR2017,37.88415262,,,,,,
Ghana,GHA,2018,YR2018,43,,,,,,
Ghana,GHA,2019,YR2019,45.00963073,,,,,,
Ghana,GHA,2020,YR2020,56.68215981,,,,,,
Ghana,GHA,2021,YR2021,68.2,,,,,,
Gibraltar,GIB,2017,YR2017,..,,,,,,
Gibraltar,GIB,2018,YR2018,..,,,,,,
Gibraltar,GIB,2019,YR2019,..,,,,,,
Gibraltar,GIB,2020,YR2020,..,,,,,,
Gibraltar,GIB,2021,YR2021,..,,,,,,
Greece,GRC,2017,YR2017,69.89297065,,,,,,
Greece,GRC,2018,YR2018,72.23837339,,,,,,
Greece,GRC,2019,YR2019,75.67120669,,,,,,
Greece,GRC,2020,YR2020,78.11584474,,,,,,
Greece,GRC,2021,YR2021,78.49426371,,,,,,
Greenland,GRL,2017,YR2017,69.48246178,,,,,,
Greenland,GRL,2018,YR2018,..,,,,,,
Greenland,GRL,2019,YR2019,..,,,,,,
Greenland,GRL,2020,YR2020,..,,,,,,
Greenland,GRL,2021,YR2021,..,,,,,,
Grenada,GRD,2017,YR2017,54.2,,,,,,
Grenada,GRD,2018,YR2018,61.4,,,,,,
Grenada,GRD,2019,YR2019,69.61219021,,,,,,
Grenada,GRD,2020,YR2020,74.72185387,,,,,,
Grenada,GRD,2021,YR2021,77.76723663,,,,,,
Guam,GUM,2017,YR2017,80.50546556,,,,,,
Guam,GUM,2018,YR2018,..,,,,,,
Guam,GUM,2019,YR2019,..,,,,,,
Guam,GUM,2020,YR2020,..,,,,,,
Guam,GUM,2021,YR2021,..,,,,,,
Guatemala,GTM,2017,YR2017,37.9,,,,,,
Guatemala,GTM,2018,YR2018,41.5,,,,,,
Guatemala,GTM,2019,YR2019,44.40104984,,,,,,
Guatemala,GTM,2020,YR2020,47.51234167,,,,,,
Guatemala,GTM,2021,YR2021,50.84164945,,,,,,
Guinea,GIN,2017,YR2017,18.7,,,,,,
Guinea,GIN,2018,YR2018,21.83002304,,,,,,
Guinea,GIN,2019,YR2019,23.36626025,,,,,,
Guinea,GIN,2020,YR2020,28.8232306,,,,,,
Guinea,GIN,2021,YR2021,34.68012393,,,,,,
Guinea-Bissau,GNB,2017,YR2017,14.8,,,,,,
Guinea-Bissau,GNB,2018,YR2018,15.7,,,,,,
Guinea-Bissau,GNB,2019,YR2019,22.92009029,,,,,,
Guinea-Bissau,GNB,2020,YR2020,27.90528061,,,,,,
Guinea-Bissau,GNB,2021,YR2021,35.15498736,,,,,,
Guyana,GUY,2017,YR2017,37.32583679,,,,,,
Guyana,GUY,2018,YR2018,..,,,,,,
Guyana,GUY,2019,YR2019,78.63994332,,,,,,
Guyana,GUY,2020,YR2020,81.8019792,,,,,,
Guyana,GUY,2021,YR2021,84.79357266,,,,,,
Haiti,HTI,2017,YR2017,27.2,,,,,,
Haiti,HTI,2018,YR2018,32.47362713,,,,,,
Haiti,HTI,2019,YR2019,32.47362713,,,,,,
Haiti,HTI,2020,YR2020,36.39474796,,,,,,
Haiti,HTI,2021,YR2021,38.94501834,,,,,,
Honduras,HND,2017,YR2017,31.73579247,,,,,,
Honduras,HND,2018,YR2018,36.04006082,,,,,,
Honduras,HND,2019,YR2019,39.38835219,,,,,,
Honduras,HND,2020,YR2020,43.48954646,,,,,,
Honduras,HND,2021,YR2021,48.08351858,,,,,,
"Hong Kong SAR, China",HKG,2017,YR2017,89.41594465,,,,,,
"Hong Kong SAR, China",HKG,2018,YR2018,90.50739533,,,,,,
"Hong Kong SAR, China",HKG,2019,YR2019,91.74340039,,,,,,
"Hong Kong SAR, China",HKG,2020,YR2020,92.41313602,,,,,,
"Hong Kong SAR, China",HKG,2021,YR2021,93.08715788,,,,,,
Hungary,HUN,2017,YR2017,76.75054712,,,,,,
Hungary,HUN,2018,YR2018,76.07436064,,,,,,
Hungary,HUN,2019,YR2019,80.37169361,,,,,,
Hungary,HUN,2020,YR2020,84.77115202,,,,,,
Hungary,HUN,2021,YR2021,88.64083466,,,,,,
Iceland,ISL,2017,YR2017,98.25520119,,,,,,
Iceland,ISL,2018,YR2018,99.01095399,,,,,,
Iceland,ISL,2019,YR2019,99.50494117,,,,,,
Iceland,ISL,2020,YR2020,99.5327519,,,,,,
Iceland,ISL,2021,YR2021,99.68701957,,,,,,
India,IND,2017,YR2017,18.2,,,,,,
India,IND,2018,YR2018,20.08130004,,,,,,
India,IND,2019,YR2019,29.52351142,,,,,,
India,IND,2020,YR2020,43.40544313,,,,,,
India,IND,2021,YR2021,46.31,,,,,,
Indonesia,IDN,2017,YR2017,32.33580625,,,,,,
Indonesia,IDN,2018,YR2018,39.90463864,,,,,,
Indonesia,IDN,2019,YR2019,47.69064898,,,,,,
Indonesia,IDN,2020,YR2020,53.72649449,,,,,,
Indonesia,IDN,2021,YR2021,62.10447842,,,,,,
"Iran, Islamic Rep.",IRN,2017,YR2017,64.04397362,,,,,,
"Iran, Islamic Rep.",IRN,2018,YR2018,70.200565,,,,,,
"Iran, Islamic Rep.",IRN,2019,YR2019,72.45090477,,,,,,
"Iran, Islamic Rep.",IRN,2020,YR2020,75.56986637,,,,,,
"Iran, Islamic Rep.",IRN,2021,YR2021,78.5957366,,,,,,
Iraq,IRQ,2017,YR2017,26,,,,,,
Iraq,IRQ,2018,YR2018,33.9,,,,,,
Iraq,IRQ,2019,YR2019,44.32634655,,,,,,
Iraq,IRQ,2020,YR2020,45.7863696,,,,,,
Iraq,IRQ,2021,YR2021,48.91718718,,,,,,
Ireland,IRL,2017,YR2017,84.11400706,,,,,,
Ireland,IRL,2018,YR2018,87.00014011,,,,,,
Ireland,IRL,2019,YR2019,87.00005524,,,,,,
Ireland,IRL,2020,YR2020,91.99989097,,,,,,
Ireland,IRL,2021,YR2021,95.16956667,,,,,,
Isle of Man,IMN,2017,YR2017,..,,,,,,
Isle of Man,IMN,2018,YR2018,..,,,,,,
Isle of Man,IMN,2019,YR2019,..,,,,,,
Isle of Man,IMN,2020,YR2020,..,,,,,,
Isle of Man,IMN,2021,YR2021,..,,,,,,
Israel,ISR,2017,YR2017,81.58118359,,,,,,
Israel,ISR,2018,YR2018,83.73315696,,,,,,
